時刻,右目x座標,右目y座標,左目x座標,左目y座標,右目瞳孔径,左目瞳孔径,右目TorF,左目TorF
42:16.6,0.350091219,0.178315863,0.350446343,0.152643189,2.689758301,2.53062439,TRUE,TRUE
42:16.6,0.331214011,0.202286422,0.322837025,0.190905184,2.654266357,2.47694397,TRUE,TRUE
42:16.6,0.331214011,0.202286422,0.322837025,0.190905184,2.654266357,2.47694397,TRUE,TRUE
42:16.6,0.331214011,0.202286422,0.322837025,0.190905184,2.654266357,2.47694397,TRUE,TRUE
42:16.6,0.301766247,0.288877845,0.288065553,0.287400067,2.651611328,2.498977661,TRUE,TRUE
42:16.6,0.301766247,0.288877845,0.288065553,0.287400067,2.651611328,2.498977661,TRUE,TRUE
42:16.6,0.301766247,0.288877845,0.288065553,0.287400067,2.651611328,2.498977661,TRUE,TRUE
42:16.6,0.302264154,0.280510873,0.287701279,0.279368967,2.681213379,2.560699463,TRUE,TRUE
42:16.6,0.302264154,0.280510873,0.287701279,0.279368967,2.681213379,2.560699463,TRUE,TRUE
42:16.6,0.302264154,0.280510873,0.287701279,0.279368967,2.681213379,2.560699463,TRUE,TRUE
42:16.7,0.300933838,0.271024466,0.287192434,0.271917045,2.690765381,2.570602417,TRUE,TRUE
42:16.7,0.300933838,0.271024466,0.287192434,0.271917045,2.690765381,2.570602417,TRUE,TRUE
42:16.7,0.300933838,0.271024466,0.287192434,0.271917045,2.690765381,2.570602417,TRUE,TRUE
42:16.7,0.300087154,0.270724744,0.2861045,0.27247709,2.699996948,2.555480957,TRUE,TRUE
42:16.7,0.300087154,0.270724744,0.2861045,0.27247709,2.699996948,2.555480957,TRUE,TRUE
42:16.7,0.300087154,0.270724744,0.2861045,0.27247709,2.699996948,2.555480957,TRUE,TRUE
42:16.7,0.301875532,0.269943893,0.28625226,0.273322612,2.692825317,2.539520264,TRUE,TRUE
42:16.7,0.301875532,0.269943893,0.28625226,0.273322612,2.692825317,2.539520264,TRUE,TRUE
42:16.7,0.301875532,0.269943893,0.28625226,0.273322612,2.692825317,2.539520264,TRUE,TRUE
42:16.7,0.3025603,0.271438956,0.289179772,0.268575788,2.692871094,2.543563843,TRUE,TRUE
42:16.7,0.3025603,0.271438956,0.289179772,0.268575788,2.692871094,2.543563843,TRUE,TRUE
42:16.7,0.3025603,0.271438956,0.289179772,0.268575788,2.692871094,2.543563843,TRUE,TRUE
42:16.7,0.302892834,0.273577839,0.289602548,0.270629823,2.703338623,2.551986694,TRUE,TRUE
