時刻,緯度,経度,上下視野角,カメラ方向,カメラ上下角度,panoID,URL
43:10.9,35.6812854,139.7670374,75,215.67,90,MywaMl8EwrWb95cb7P8lig,https://www.google.com/maps/@35.6812854.139.7670374.2a.75y.215.67h.90t/data=!3m6!1e1!3m4!1sMywaMl8EwrWb95cb7P8lig!2e0!7i13312!8i6656
43:11.9,35.6812854,139.7670374,75,204.63,90,MywaMl8EwrWb95cb7P8lig,https://www.google.com/maps/@35.6812854.139.7670374.2a.75y.204.63h.90t/data=!3m6!1e1!3m4!1sMywaMl8EwrWb95cb7P8lig!2e0!7i13312!8i6656
43:12.6,35.681259,139.7670265,75,204.63,90,HW0o81rlzYVY_22AII42gw,https://www.google.com/maps/@35.681259.139.7670265.2a.75y.204.63h.90t/data=!3m6!1e1!3m4!1sHW0o81rlzYVY_22AII42gw!2e0!7i13312!8i6656
43:14.5,35.6812291,139.7670143,75,204.63,90,uGKWoewImL9MkIbqX6ALCg,https://www.google.com/maps/@35.6812291.139.7670143.2a.75y.204.63h.90t/data=!3m6!1e1!3m4!1suGKWoewImL9MkIbqX6ALCg!2e0!7i13312!8i6656
43:16.2,35.6811996,139.7670001,75,204.63,90,L0Ita4zCyP3NqxcP9_acmA,https://www.google.com/maps/@35.6811996.139.7670001.2a.75y.204.63h.90t/data=!3m6!1e1!3m4!1sL0Ita4zCyP3NqxcP9_acmA!2e0!7i13312!8i6656
43:17.7,35.6811996,139.7670001,75,122.22,90,L0Ita4zCyP3NqxcP9_acmA,https://www.google.com/maps/@35.6811996.139.7670001.2a.75y.122.22h.90t/data=!3m6!1e1!3m4!1sL0Ita4zCyP3NqxcP9_acmA!2e0!7i13312!8i6656
43:21.7,35.6811996,139.7670001,75,286.84,90,L0Ita4zCyP3NqxcP9_acmA,https://www.google.com/maps/@35.6811996.139.7670001.2a.75y.286.84h.90t/data=!3m6!1e1!3m4!1sL0Ita4zCyP3NqxcP9_acmA!2e0!7i13312!8i6656
43:24.0,35.6811996,139.7670001,75,315.34,90,L0Ita4zCyP3NqxcP9_acmA,https://www.google.com/maps/@35.6811996.139.7670001.2a.75y.315.34h.90t/data=!3m6!1e1!3m4!1sL0Ita4zCyP3NqxcP9_acmA!2e0!7i13312!8i6656
43:27.0,35.6811996,139.7670001,75,134.4,90,L0Ita4zCyP3NqxcP9_acmA,https://www.google.com/maps/@35.6811996.139.7670001.2a.75y.134.4h.90t/data=!3m6!1e1!3m4!1sL0Ita4zCyP3NqxcP9_acmA!2e0!7i13312!8i6656
43:28.3,35.6811996,139.7670001,75,114.64,90,L0Ita4zCyP3NqxcP9_acmA,https://www.google.com/maps/@35.6811996.139.7670001.2a.75y.114.64h.90t/data=!3m6!1e1!3m4!1sL0Ita4zCyP3NqxcP9_acmA!2e0!7i13312!8i6656
43:31.0,35.6811996,139.7670001,75,103.66,90,L0Ita4zCyP3NqxcP9_acmA,https://www.google.com/maps/@35.6811996.139.7670001.2a.75y.103.66h.90t/data=!3m6!1e1!3m4!1sL0Ita4zCyP3NqxcP9_acmA!2e0!7i13312!8i6656
43:31.5,35.6811904,139.7670415,75,103.66,90,F7lmsX6R5CRHGZe_jB9GaA,https://www.google.com/maps/@35.6811904.139.7670415.2a.75y.103.66h.90t/data=!3m6!1e1!3m4!1sF7lmsX6R5CRHGZe_jB9GaA!2e0!7i13312!8i6656
43:33.5,35.6811823,139.7670745,75,103.66,90,1DTyjwCYzKIdDA_Tt8NG8w,https://www.google.com/maps/@35.6811823.139.7670745.2a.75y.103.66h.90t/data=!3m6!1e1!3m4!1s1DTyjwCYzKIdDA_Tt8NG8w!2e0!7i13312!8i6656
43:34.7,35.6811823,139.7670745,75,91.19,90,1DTyjwCYzKIdDA_Tt8NG8w,https://www.google.com/maps/@35.6811823.139.7670745.2a.75y.91.19h.90t/data=!3m6!1e1!3m4!1s1DTyjwCYzKIdDA_Tt8NG8w!2e0!7i13312!8i6656
43:35.9,35.6811728,139.7671102,75,91.19,90,0wrusptXHCUL8brfxHUSAg,https://www.google.com/maps/@35.6811728.139.7671102.2a.75y.91.19h.90t/data=!3m6!1e1!3m4!1s0wrusptXHCUL8brfxHUSAg!2e0!7i13312!8i6656
43:36.7,35.6811728,139.7671102,75,115.84,90,0wrusptXHCUL8brfxHUSAg,https://www.google.com/maps/@35.6811728.139.7671102.2a.75y.115.84h.90t/data=!3m6!1e1!3m4!1s0wrusptXHCUL8brfxHUSAg!2e0!7i13312!8i6656
43:37.8,35.6811638,139.7671435,75,115.84,90,TCzn7iKYeSJixW98f-_upA,https://www.google.com/maps/@35.6811638.139.7671435.2a.75y.115.84h.90t/data=!3m6!1e1!3m4!1sTCzn7iKYeSJixW98f-_upA!2e0!7i13312!8i6656
43:39.9,35.6811543,139.7671785,75,115.84,90,ckKb-0Zu3WABxVxnYM4sfg,https://www.google.com/maps/@35.6811543.139.7671785.2a.75y.115.84h.90t/data=!3m6!1e1!3m4!1sckKb-0Zu3WABxVxnYM4sfg!2e0!7i13312!8i6656
43:44.2,35.681146,139.767212,75,115.84,90,bwgyV-H_khHlrOisg4-IKw,https://www.google.com/maps/@35.681146.139.767212.2a.75y.115.84h.90t/data=!3m6!1e1!3m4!1sbwgyV-H_khHlrOisg4-IKw!2e0!7i13312!8i6656
